CUE, TARGET, NORMED?, #G, #P, FSG, BSG, MSG, OSG, #M, MMIAS, #O, OMIAS, QSS, QFR, QCON, QH, QPS, QMC, QPR, QRSG, QUC, TSS, TFR, TCON, TH, TPS, TMC, TPR, TRSG, TUC
CAGE, CELL, YES, 143, 2, .014, 0.000, .0090, .0184, 2, 3, 2.0, 0, 18, 9, 5.88, , N, 1.47, .33, .008, 1, 16, 65, 6.63, N, N, 1.14, .64, .032, 1
CAGE, CONFINE, NO, 143, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 18, 9, 5.88, , N, 1.47, .33, .008, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CAGE, METAL, YES, 143, 2, .014, 0.000, 0.0000, 0.0000, 0, 3, 0.0, 0, 18, 9, 5.88, , N, 1.47, .33, .008, 1, 16, 61, 6.76, , N, 1.19, .56, .057, 1
CAGE, MONKEY, YES, 143, 2, .014, .021, .0010, .0190, 1, 3, 2.0, 1, 18, 9, 5.88, , N, 1.47, .33, .008, 1, 22, 9, 5.46, , N, 1.24, .38, .115, 1
CAGE, PEN, YES, 143, 2, .014, 0.000, 0.0000, 0.0000, 0, 3, 0.0, 0, 18, 9, 5.88, , N, 1.47, .33, .008, 1, 4, 18, 5.59, N, N, 2.00, 1.00, .429, 1
CAGE, RESTRAINT, NO, 143, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 18, 9, 5.88, , N, 1.47, .33, .008, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CAGE, ZOO, YES, 143, 2, .014, .031, .0070, .1935, 2, 3, 3.0, 1, 18, 9, 5.88, , N, 1.47, .33, .008, 1, 8, 9, 5.79, , N, 1.88, .75, .022, 1
CAKE, ICE CREAM, YES, 184, 22, .120, 0.000, .0040, .0110, 2, 0, 4.0, 3, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 17, 45, 5.84, , N, 2.33, .40, .107, 1
CAKE, BIRTHDAY, YES, 184, 16, .087, .192, 0.0000, .0049, 1, 0, 1.0, 0, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 15, 18, 4.47, , N, 1.00, .43, .026, 1
CAKE, CHOCOLATE, YES, 184, 16, .087, .061, .0220, .0072, 7, 0, 5.0, 2, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 17, 9, 5.72, , N, 1.82, .71, .078, 1
CAKE, EAT, YES, 184, 14, .076, 0.000, .0270, .0217, 5, 0, 2.0, 1, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 11, 61, 4.75, , N, 1.20, .70, .181, 1
CAKE, PIE, YES, 184, 13, .071, .168, .0010, .0136, 1, 0, 7.0, 6, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 21, 14, 6.09, , N, 2.10, .55, .082, 1
CAKE, ICING, YES, 184, 10, .054, .812, .0030, .0037, 1, 0, 4.0, 3, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 9, 1, 6.10, , N, 1.78, .22, .046, 1
CAKE, FOOD, YES, 184, 9, .049, 0.000, .0400, .0322, 8, 0, 3.0, 2, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 18, 147, 5.84, , N, 1.69, .63, .203, 1
CAKE, BAKE, YES, 184, 6, .033, .402, .0010, .0038, 2, 0, 3.0, 1, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 10, 12, 4.76, , V, 2.00, .70, .063, 1
CAKE, GOOD, YES, 184, 6, .033, 0.000, .0090, 0.0000, 6, 0, 0.0, 0, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 8, 807, 2.53, , AJ, .75, .75, .586, 1
CAKE, MIX, YES, 184, 6, .033, .083, 0.0000, .0007, 0, 0, 1.0, 1, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 14, 13, ¥, , V, 1.46, .54, .193, 1
CAKE, WALK, YES, 184, 6, .033, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 12, 100, 4.28, , V, 1.00, .67, .237, 0
CAKE, FAT, YES, 184, 5, .027, 0.000, .0120, .0001, 6, 0, 1.0, 0, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 16, 60, 4.80, , N, 1.47, .60, .229, 1
CAKE, FROSTING, YES, 184, 5, .027, .623, .0010, .0121, 1, 0, 3.0, 2, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 7, 1, 6.00, , N, 1.57, .29, .019, 1
CAKE, SWEET, YES, 184, 5, .027, 0.000, .0200, .0040, 7, 0, 2.0, 1, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 12, 70, 4.53, , AJ, 2.08, .67, .255, 1
CAKE, PARTY, YES, 184, 4, .022, .033, .0190, .0015, 1, 0, 2.0, 1, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 22, 216, 5.50, T, N, 1.29, .33, .029, 1
CAKE, COOKIE, YES, 184, 3, .016, .033, .0030, .0290, 1, 0, 7.0, 6, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 17, 1, 6.30, , N, 2.24, .41, .030, 1
CAKE, CREAM, YES, 184, 3, .016, 0.000, .0020, .0004, 1, 0, 1.0, 1, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 14, 20, 6.08, , N, 1.00, .50, .062, 1
CAKE, YUMMY, YES, 184, 3, .016, 0.000, .0030, .0236, 2, 0, 4.0, 3, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 10, 0, ¥, , AJ, 2.75, .50, .018, 0
CAKE, DIET, YES, 184, 2, .011, 0.000, 0.0000, .0192, 1, 0, 3.0, 2, 19, 13, 6.11, , N, 2.79, .47, .112, 1, 16, 21, ¥, , N, 1.62, .39, .005, 1
CALCIUM, MILK, YES, 150, 62, .413, .012, 0.0000, 0.0000, 0, 4, 0.0, 0, 12, 11, ¥, , N, 1.12, .13, .005, 1, 18, 49, 6.66, , N, 1.29, .59, .161, 1
CALCIUM, BONE, YES, 150, 23, .153, 0.000, 0.0000, 0.0000, 1, 4, 0.0, 0, 12, 11, ¥, , N, 1.12, .13, .005, 1, 19, 33, 5.75, , N, 1.53, .35, .130, 1
CALCIUM, VITAMIN, YES, 150, 16, .107, 0.000, .0020, .0042, 3, 4, 2.0, 0, 12, 11, ¥, , N, 1.12, .13, .005, 1, 14, 5, ¥, , N, 1.00, .38, .007, 0
CALCIUM, DEPOSIT, YES, 150, 9, .060, 0.000, .0030, 0.0000, 1, 4, 0.0, 0, 12, 11, ¥, , N, 1.12, .13, .005, 1, 9, 9, ¥, , V, 1.12, 0.00, 0.000, 0
CALCIUM, MINERAL, YES, 150, 6, .040, 0.000, .0070, .0087, 2, 4, 3.0, 1, 12, 11, ¥, , N, 1.12, .13, .005, 1, 12, 12, ¥, , N, .82, .27, .003, 1
CALCIUM, IRON, YES, 150, 5, .033, 0.000, .0010, .0015, 1, 4, 2.0, 1, 12, 11, ¥, , N, 1.12, .13, .005, 1, 23, 43, 5.47, W, N, 1.59, .36, .080, 1
CALCIUM, POTASSIUM, NO, 150, 3, .020, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 12, 11, ¥, , N, 1.12, .13, .005, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CALCIUM, CARBONATE, NO, 150, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 12, 11, ¥, , N, 1.12, .13, .005, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CALCIUM, DEFICIENCY, NO, 150, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 12, 11, ¥, , N, 1.12, .13, .005, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CALCIUM, PILL, YES, 150, 2, .013, 0.000, .0140, .0015, 1, 4, 1.0, 0, 12, 11, ¥, , N, 1.12, .13, .005, 1, 14, 15, 5.88, , N, 1.55, .36, .028, 0
CALCIUM, TABLETS, NO, 150, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 12, 11, ¥, , N, 1.12, .13, .005, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CALCIUM, TEETH, YES, 150, 2, .013, 0.000, 0.0000, .0021, 0, 4, 1.0, 1, 12, 11, ¥, , N, 1.12, .13, .005, 1, 16, 103, 6.14, , N, 1.67, .53, .161, 1
CALCULATE, MATH, YES, 139, 38, .273, 0.000, .0290, .0146, 7, 1, 6.0, 2, 15, 4, ¥, , V, 2.21, .14, .009, 1, 19, 4, 3.78, , N, 2.26, .58, .161, 1
CALCULATE, FIGURE, YES, 139, 31, .223, 0.000, .0130, .0118, 5, 1, 4.0, 3, 15, 4, ¥, , V, 2.21, .14, .009, 1, 19, 209, 4.68, N, N, .95, .16, .015, 1
CALCULATE, ADD, YES, 139, 18, .129, 0.000, .0350, .0142, 5, 1, 2.0, 0, 15, 4, ¥, , V, 2.21, .14, .009, 1, 11, 88, 2.95, , V, 1.45, .82, .503, 1
CALCULATE, COMPUTE, YES, 139, 8, .058, .149, 0.0000, .0591, 1, 1, 6.0, 6, 15, 4, ¥, , V, 2.21, .14, .009, 1, 14, 7, ¥, , V, 2.23, .08, .009, 1
CALCULATE, CALCULATOR, YES, 139, 4, .029, 0.000, .0060, .1390, 3, 1, 3.0, 1, 15, 4, ¥, , V, 2.21, .14, .009, 1, 12, 1, 6.70, , N, 1.17, .25, .007, 1
CALCULATE, COMPUTER, YES, 139, 4, .029, 0.000, .0080, .0004, 2, 1, 1.0, 0, 15, 4, ¥, , V, 2.21, .14, .009, 1, 33, 13, 6.15, , N, .88, .44, .081, 0
CALCULATE, DETERMINE, YES, 139, 4, .029, .014, 0.0000, .0300, 0, 1, 2.0, 2, 15, 4, ¥, , V, 2.21, .14, .009, 1, 17, 107, ¥, , V, 1.31, .25, .005, 1
CALCULATE, THINK, YES, 139, 4, .029, 0.000, .0090, 0.0000, 4, 1, 0.0, 0, 15, 4, ¥, , V, 2.21, .14, .009, 1, 22, 433, 3.38, , V, 2.85, .65, .107, 1
CALCULATE, NUMBER, YES, 139, 3, .022, 0.000, .0500, .0105, 1, 1, 2.0, 1, 15, 4, ¥, , V, 2.21, .14, .009, 1, 17, 472, 3.76, G, N, 1.31, .81, .041, 1
CALCULATE, MANIPULATE, NO, 139, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 4, ¥, , V, 2.21, .14, .009, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CALCULATE, PUNCH, YES, 139, 2, .014, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 15, 4, ¥, , V, 2.21, .14, .009, 1, 20, 5, 5.41, N, V, 1.24, .29, .018, 1
CALCULATE, RECORD, YES, 139, 2, .014, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 15, 4, ¥, , V, 2.21, .14, .009, 1, 14, 137, ¥, N, N, 1.33, .50, .080, 0
CALCULATE, SOLVE, YES, 139, 2, .014, 0.000, 0.0000, .0165, 0, 1, 3.0, 3, 15, 4, ¥, , V, 2.21, .14, .009, 1, 18, 20, ¥, , V, 1.65, .18, .062, 1
CALCULATE, SUBTRACT, YES, 139, 2, .014, 0.000, .0880, .1043, 1, 1, 2.0, 1, 15, 4, ¥, , V, 2.21, .14, .009, 1, 6, 2, 2.86, , V, 2.00, .50, .518, 1
CALCULATE, WORK, YES, 139, 2, .014, 0.000, .0150, 0.0000, 2, 1, 0.0, 0, 15, 4, ¥, , V, 2.21, .14, .009, 1, 19, 760, 3.88, N, N, 1.63, .68, .091, 1
CALCULATOR, MATH, YES, 131, 65, .496, .012, .0490, .0028, 4, 0, 3.0, 0, 12, 1, 6.70, , N, 1.17, .25, .007, 1, 19, 4, 3.78, , N, 2.26, .58, .161, 1
CALCULATOR, NUMBERS, YES, 131, 21, .160, 0.000, 0.0000, .1159, 1, 0, 2.0, 1, 12, 1, 6.70, , N, 1.17, .25, .007, 1, 15, 125, ¥, , N, .50, .25, .019, 1
CALCULATOR, ADD, YES, 131, 3, .023, 0.000, .0230, .0102, 2, 0, 2.0, 0, 12, 1, 6.70, , N, 1.17, .25, .007, 1, 11, 88, 2.95, , V, 1.45, .82, .503, 1
CALCULATOR, BUTTON, YES, 131, 3, .023, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 12, 1, 6.70, , N, 1.17, .25, .007, 1, 16, 10, 6.00, , N, 2.12, .44, .035, 1
CALCULATOR, COMPUTER, YES, 131, 3, .023, .014, .0010, .0008, 1, 0, 2.0, 1, 12, 1, 6.70, , N, 1.17, .25, .007, 1, 33, 13, 6.15, , N, .88, .44, .081, 0
CALCULATOR, HELP, YES, 131, 3, .023, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 12, 1, 6.70, , N, 1.17, .25, .007, 1, 23, 311, 2.82, , V, 1.14, .50, .052, 1
CALCULATOR, WATCH, YES, 131, 3, .023, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 12, 1, 6.70, , N, 1.17, .25, .007, 1, 14, 81, 4.63, N, V, 1.79, .57, .109, 1
CALCULATOR, ANSWER, YES, 131, 2, .015, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 12, 1, 6.70, , N, 1.17, .25, .007, 1, 9, 152, 3.85, , N, 1.44, .67, .537, 1
CALCULATOR, CALCULUS, YES, 131, 2, .015, .014, .0390, .3517, 1, 0, 1.0, 0, 12, 1, 6.70, , N, 1.17, .25, .007, 1, 7, 0, 3.72, , N, 1.57, .57, .059, 1
CALCULATOR, MACHINE, YES, 131, 2, .015, 0.000, .0010, .0023, 2, 0, 2.0, 0, 12, 1, 6.70, , N, 1.17, .25, .007, 1, 17, 103, 6.75, , N, 1.00, .53, .016, 1
CALCULATOR, SCIENCE, YES, 131, 2, .015, 0.000, .0210, .0238, 2, 0, 1.0, 0, 12, 1, 6.70, , N, 1.17, .25, .007, 1, 18, 131, 4.14, , N, 1.72, .67, .067, 1
CALCULATOR, TOOL, YES, 131, 2, .015, 0.000, 0.0000, .0003, 1, 0, 1.0, 0, 12, 1, 6.70, , N, 1.17, .25, .007, 1, 12, 40, 5.33, N, N, 1.33, .58, .047, 1
CALCULUS, MATH, YES, 148, 105, .709, .079, .0280, .0118, 3, 0, 3.0, 1, 7, 0, 3.72, , N, 1.57, .57, .059, 1, 19, 4, 3.78, , N, 2.26, .58, .161, 1
CALCULUS, HARD, YES, 148, 15, .101, 0.000, .0990, 0.0000, 4, 0, 0.0, 0, 7, 0, 3.72, , N, 1.57, .57, .059, 1, 10, 202, 4.21, N, AJ, 1.00, .90, .328, 1
CALCULUS, DIFFICULT, YES, 148, 6, .041, 0.000, 0.0000, .0600, 0, 0, 1.0, 1, 7, 0, 3.72, , N, 1.57, .57, .059, 1, 3, 161, 2.38, , AJ, 1.00, .33, .006, 1
CALCULUS, ALGEBRA, YES, 148, 3, .020, .079, .0440, .4696, 2, 0, 3.0, 1, 7, 0, 3.72, , N, 1.57, .57, .059, 1, 9, 2, 4.85, , N, 1.44, .44, .043, 1
CALCULUS, CALCULATOR, YES, 148, 2, .014, .015, .0090, .3517, 1, 0, 1.0, 0, 7, 0, 3.72, , N, 1.57, .57, .059, 1, 12, 1, 6.70, , N, 1.17, .25, .007, 1
CALCULUS, GROSS, YES, 148, 2, .014, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 7, 0, 3.72, , N, 1.57, .57, .059, 1, 16, 30, 2.73, W, AJ, 1.38, .44, .123, 1
CALCULUS, TRIGONOMETRY, YES, 148, 2, .014, .085, 0.0000, .3960, 1, 0, 3.0, 2, 7, 0, 3.72, , N, 1.57, .57, .059, 1, 8, 0, ¥, , N, 2.00, .25, .002, 1
CALENDAR, DATE, YES, 154, 47, .305, .063, .0090, .0279, 2, 0, 4.0, 4, 8, 28, 6.48, , N, 2.12, .38, .023, 1, 20, 103, 5.38, N, N, 1.11, .16, .021, 1
CALENDAR, MONTH, YES, 154, 23, .149, 0.000, .0480, .0581, 2, 0, 3.0, 2, 8, 28, 6.48, , N, 2.12, .38, .023, 1, 17, 130, 3.20, , N, 1.71, .43, .106, 0
CALENDAR, DAY, YES, 154, 20, .130, 0.000, .0730, .0010, 4, 0, 1.0, 0, 8, 28, 6.48, , N, 2.12, .38, .023, 1, 6, 686, 4.67, , N, .67, .67, .574, 1
CALENDAR, YEAR, YES, 154, 18, .117, .032, .0410, .0905, 1, 0, 4.0, 3, 8, 28, 6.48, , N, 2.12, .38, .023, 1, 12, 660, 3.40, , N, 1.64, .27, .093, 1
CALENDAR, GIRL, YES, 154, 12, .078, 0.000, .0170, 0.0000, 1, 0, 0.0, 0, 8, 28, 6.48, , N, 2.12, .38, .023, 1, 8, 220, 6.83, , N, 1.25, 1.00, .535, 1
CALENDAR, TIME, YES, 154, 7, .045, 0.000, .0650, .0060, 6, 0, 2.0, 0, 8, 28, 6.48, , N, 2.12, .38, .023, 1, 14, 1599, 3.79, , N, .71, .64, .322, 1
CALENDAR, EVENT, YES, 154, 3, .019, 0.000, 0.0000, .0082, 0, 0, 2.0, 2, 8, 28, 6.48, , N, 2.12, .38, .023, 1, 22, 81, 3.72, , N, 1.32, .16, .013, 1
CALENDAR, SCHEDULE, YES, 154, 2, .013, .021, .0010, .0090, 1, 0, 1.0, 0, 8, 28, 6.48, , N, 2.12, .38, .023, 1, 15, 36, ¥, , N, 2.00, .77, .019, 1
CALF, COW, YES, 165, 115, .697, .194, .0010, .0002, 2, 0, 1.0, 1, 7, 11, 5.88, T, N, .86, .43, .137, 1, 10, 29, 6.12, , N, 1.50, .90, .420, 1
CALF, LEG, YES, 165, 20, .121, 0.000, .0250, .0006, 1, 0, 1.0, 0, 7, 11, 5.88, T, N, .86, .43, .137, 1, 10, 58, 6.04, , N, 1.30, .70, .368, 1
CALF, THIGH, YES, 165, 8, .048, .028, .0010, .0627, 1, 0, 1.0, 0, 7, 11, 5.88, T, N, .86, .43, .137, 1, 11, 9, 6.74, , N, 1.18, .27, .010, 1
CALF, BABY, YES, 165, 6, .036, 0.000, 0.0000, 0.0000, 1, 0, 0.0, 0, 7, 11, 5.88, T, N, .86, .43, .137, 1, 19, 62, 5.77, , N, 2.05, .63, .140, 1
CALF, ANIMAL, YES, 165, 2, .012, 0.000, .0130, 0.0000, 1, 0, 0.0, 0, 7, 11, 5.88, T, N, .86, .43, .137, 1, 28, 68, 5.65, , N, 1.81, .74, .053, 1
CALF, LIVER, YES, 165, 2, .012, 0.000, 0.0000, .0098, 0, 0, 1.0, 1, 7, 11, 5.88, T, N, .86, .43, .137, 1, 18, 16, 6.11, , N, 1.94, .19, .007, 1
CALF, VEAL, YES, 165, 2, .012, .050, 0.0000, .0758, 0, 0, 2.0, 2, 7, 11, 5.88, T, N, .86, .43, .137, 1, 13, 1, 5.16, , N, 1.73, .09, .001, 0
CALIFORNIA, STATE, YES, 149, 15, .101, 0.000, .0110, .0130, 3, 4, 2.0, 0, 19, 65, ¥, , N, 2.00, .33, .030, 0, 15, 808, 4.31, N, N, 1.07, .64, .076, 1
CALIFORNIA, LOS ANGELES, YES, 149, 14, .094, .248, .0010, .0028, 1, 4, 4.0, 3, 19, 65, ¥, , N, 2.00, .33, .030, 0, 18, 0, ¥, , N, 1.08, .42, .031, 0
CALIFORNIA, SUN, YES, 149, 13, .087, 0.000, .0190, .0060, 3, 4, 3.0, 1, 19, 65, ¥, , N, 2.00, .33, .030, 0, 14, 112, 6.23, , N, 2.36, .93, .153, 1
CALIFORNIA, BEACH, YES, 149, 11, .074, 0.000, .0210, .0144, 6, 4, 4.0, 1, 19, 65, ¥, , N, 2.00, .33, .030, 0, 16, 61, 6.08, , N, 2.25, .75, .313, 1
CALIFORNIA, SURF, YES, 149, 8, .054, 0.000, .0030, .0141, 2, 4, 1.0, 0, 19, 65, ¥, , N, 2.00, .33, .030, 0, 10, 1, 5.23, , N, 2.10, .50, .026, 1
CALIFORNIA, WEST, YES, 149, 8, .054, .039, .0010, 0.0000, 1, 4, 0.0, 0, 19, 65, ¥, , N, 2.00, .33, .030, 0, 6, 235, 4.03, , N, .67, .67, .695, 1
CALIFORNIA, FLORIDA, YES, 149, 7, .047, 0.000, .0280, .0353, 4, 4, 5.0, 2, 19, 65, ¥, , N, 2.00, .33, .030, 0, 16, 20, 6.10, , N, 1.36, .50, .072, 0
CALIFORNIA, NEW YORK, YES, 149, 7, .047, 0.000, .0030, .0055, 1, 4, 1.0, 0, 19, 65, ¥, , N, 2.00, .33, .030, 0, 15, 1, ¥, , N, 1.17, .17, .027, 0
CALIFORNIA, EARTHQUAKE, YES, 149, 6, .040, .083, .0010, .0006, 1, 4, 1.0, 0, 19, 65, ¥, , N, 2.00, .33, .030, 0, 18, 9, 6.32, , N, 1.50, .29, .013, 0
CALIFORNIA, RAISINS, NO, 149, 5, .034, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 19, 65, ¥, , N, 2.00, .33, .030, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CALIFORNIA, SAN FRANCISCO, NO, 149, 4, .027, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 19, 65, ¥, , N, 2.00, .33, .030, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CALIFORNIA, COAST, YES, 149, 3, .020, .012, .0010, .0101, 1, 4, 3.0, 2, 19, 65, ¥, , N, 2.00, .33, .030, 0, 22, 61, 5.51, N, N, 2.52, .29, .005, 1
CALIFORNIA, GIRLS, YES, 149, 3, .020, 0.000, .0010, 0.0000, 1, 4, 0.0, 0, 19, 65, ¥, , N, 2.00, .33, .030, 0, 10, 142, ¥, , N, 1.62, .25, .269, 1
CALIFORNIA, DREAMING, NO, 149, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 19, 65, ¥, , N, 2.00, .33, .030, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CALIFORNIA, HOT, YES, 149, 2, .013, 0.000, .0110, 0.0000, 3, 4, 0.0, 0, 19, 65, ¥, , N, 2.00, .33, .030, 0, 8, 130, 5.03, G, AJ, 1.12, .88, .301, 1
CALIFORNIA, HOTEL, YES, 149, 2, .013, .047, 0.0000, 0.0000, 0, 4, 0.0, 0, 19, 65, ¥, , N, 2.00, .33, .030, 0, 16, 126, 6.80, , N, 1.27, .20, .107, 1
CALIFORNIA, NEVADA, NO, 149, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 19, 65, ¥, , N, 2.00, .33, .030, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CALIFORNIA, SMOG, YES, 149, 2, .013, 0.000, .0040, .0057, 1, 4, 1.0, 0, 19, 65, ¥, , N, 2.00, .33, .030, 0, 15, 1, 5.35, , N, 2.00, .33, .047, 1
CALIFORNIA, SUNSHINE, YES, 149, 2, .013, 0.000, .0070, .0233, 1, 4, 5.0, 4, 19, 65, ¥, , N, 2.00, .33, .030, 0, 17, 8, 5.47, G, N, 2.71, .18, .019, 1
CALL, PHONE, YES, 147, 56, .378, .283, .0120, .0068, 4, 0, 4.0, 1, 15, 188, 3.74, N, V, 1.20, .40, .139, 1, 10, 54, 6.02, , N, .80, .70, .135, 1
CALL, TELEPHONE, YES, 147, 19, .128, .229, .0020, .0050, 1, 0, 2.0, 2, 15, 188, 3.74, N, V, 1.20, .40, .139, 1, 17, 76, 6.15, , N, 1.00, .47, .050, 1
CALL, ANSWER, YES, 147, 9, .061, .016, 0.0000, .0096, 0, 0, 2.0, 2, 15, 188, 3.74, N, V, 1.20, .40, .139, 1, 9, 152, 3.85, , N, 1.44, .67, .537, 1
CALL, YELL, YES, 147, 8, .054, 0.000, .0080, .0012, 2, 0, 2.0, 0, 15, 188, 3.74, N, V, 1.20, .40, .139, 1, 9, 9, 4.29, , V, 2.44, .67, .405, 1
CALL, COLLECT, YES, 147, 7, .047, .014, 0.0000, 0.0000, 0, 0, 0.0, 0, 15, 188, 3.74, N, V, 1.20, .40, .139, 1, 18, 16, ¥, G, V, 1.19, .25, .096, 1
CALL, TALK, YES, 147, 5, .034, 0.000, .0710, .0114, 5, 0, 3.0, 0, 15, 188, 3.74, N, V, 1.20, .40, .139, 1, 18, 154, 4.18, , V, 1.79, .86, .209, 0
CALL, WAIT, YES, 147, 5, .034, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 15, 188, 3.74, N, V, 1.20, .40, .139, 1, 19, 94, 3.09, , V, 1.84, .21, .017, 1
CALL, DIAL, YES, 147, 3, .020, .019, .0110, .1836, 1, 0, 2.0, 1, 15, 188, 3.74, N, V, 1.20, .40, .139, 1, 12, 1, 5.33, H, N, 1.08, .25, .015, 1
CALL, GIRL, YES, 147, 3, .020, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 15, 188, 3.74, N, V, 1.20, .40, .139, 1, 8, 220, 6.83, , N, 1.25, 1.00, .535, 1
CALL, HOME, YES, 147, 3, .020, 0.000, .0050, 0.0000, 1, 0, 0.0, 0, 15, 188, 3.74, N, V, 1.20, .40, .139, 1, 15, 547, 6.25, , N, 1.47, .40, .208, 1
CALL, HOLLER, YES, 147, 2, .014, 0.000, .0030, .0288, 1, 0, 1.0, 0, 15, 188, 3.74, N, V, 1.20, .40, .139, 1, 4, 0, 3.85, , V, 2.75, .50, .034, 1
CALL, LISTEN, YES, 147, 2, .014, 0.000, .0040, .0032, 1, 0, 1.0, 0, 15, 188, 3.74, N, V, 1.20, .40, .139, 1, 15, 51, 4.04, , V, 1.85, .62, .178, 1
CALL, MOM, YES, 147, 2, .014, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 15, 188, 3.74, N, V, 1.20, .40, .139, 1, 5, 3, 6.40, , N, 1.20, .60, .541, 1
CALL, NEED, YES, 147, 2, .014, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 15, 188, 3.74, N, V, 1.20, .40, .139, 1, 8, 360, 3.10, G, V, .71, .43, .175, 1
CALL, RING, YES, 147, 2, .014, .020, .0420, .0204, 2, 0, 1.0, 0, 15, 188, 3.74, N, V, 1.20, .40, .139, 1, 13, 47, 5.88, N, N, 1.15, .85, .144, 1
CALM, QUIET, YES, 126, 14, .111, 0.000, .0310, .0021, 5, 1, 1.0, 0, 14, 35, 3.56, , AJ, 1.62, .62, .037, 1, 12, 76, 3.70, , AJ, .50, .70, .098, 1
CALM, NERVOUS, YES, 126, 9, .071, .014, .0070, .0010, 2, 1, 1.0, 0, 14, 35, 3.56, , AJ, 1.62, .62, .037, 1, 19, 24, 3.30, , AJ, 1.28, .33, .061, 1
CALM, RELAX, YES, 126, 9, .071, .101, 0.0000, .0030, 1, 1, 3.0, 3, 14, 35, 3.56, , AJ, 1.62, .62, .037, 1, 20, 19, 3.71, , V, 1.94, .56, .043, 1
CALM, PEACE, YES, 126, 8, .063, .056, .0140, .0054, 3, 1, 1.0, 0, 14, 35, 3.56, , AJ, 1.62, .62, .037, 1, 19, 198, 2.98, , N, .67, .33, .123, 1
CALM, SEA, YES, 126, 8, .063, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 14, 35, 3.56, , AJ, 1.62, .62, .037, 1, 15, 95, 5.82, , N, 2.14, .36, .140, 1
CALM, SERENE, YES, 126, 7, .056, .213, .0030, .0313, 2, 1, 4.0, 2, 14, 35, 3.56, , AJ, 1.62, .62, .037, 1, 8, 10, ¥, , AJ, 1.88, .38, .019, 1
CALM, TRANQUIL, YES, 126, 6, .048, .158, .0030, .0374, 2, 1, 4.0, 2, 14, 35, 3.56, , AJ, 1.62, .62, .037, 1, 13, 2, 3.30, , AJ, 2.45, .27, .017, 1
CALM, WILD, YES, 126, 5, .040, .048, .0010, .0020, 1, 1, 1.0, 0, 14, 35, 3.56, , AJ, 1.62, .62, .037, 1, 15, 56, 3.72, , AJ, 1.17, .42, .037, 0
